Meme ID,prompt,response_truncated,answer,hate_prediction
222,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
37,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
38,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
58,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
74,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
78,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
134,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
137,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
138,0,         Answer with a single alphabet letter among the given choices a and b. Assistant:b: Non-hate,b,0
142,0,         Answer with a single alphabet letter among the given choices a and b. Assistant:b: Non-hate,b,0
217,0,         Answer with a single alphabet letter among the given choices a and b. Assistant:b: Non-hate,b,0
257,0,         Answer with a single alphabet letter among the given choices a and b. Assistant:b: Non-hate,b,0
261,0,         Answer with a single alphabet letter among the given choices a and b. Assistant:b: Non-hate,b,0
10,0,         Answer with a single alphabet letter among the given choices a and b. Assistant:b: Non-hate,b,0
11,0,         Answer with a single alphabet letter among the given choices a and b. Assistant:b: Non-hate,b,0
12,0,         Answer with a single alphabet letter among the given choices a and b. Assistant:b: Non-hate,b,0
13,0,         Answer with a single alphabet letter among the given choices a and b. Assistant:b: Non-hate,b,0
8,0,         Answer with a single alphabet letter among the given choices a and b. Assistant:b: Non-hate,b,0
9,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
180,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
243,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
279,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
281,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
287,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
289,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
42,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
46,0,ion          Answer with a single alphabet letter among the given choices a and b. Assistant:a: Hate,a,1
