Meme ID,prompt,response_truncated,answer,hate_prediction
222,0,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
222,1,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
222,2,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
222,3,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
222,4,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
222,5,"t and a person wearing a hat against a blue background, I would classify this as:  b  The meme doesn",a,1
37,0,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
37,1,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
37,2,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
37,3,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
37,4,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
37,5,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
38,0,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
38,1,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
38,2,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
38,3,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
38,4,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
38,5,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
58,0,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
58,1,"in text in Hindi that targets a specific religious group with pejorative language, the answer is:  a",a,1
58,2," translates to ""Heartfelt congratulations for the New Year,"" I need to determine if this constitutes",a,1
58,3,ains pejorative or discriminatory language targeting a person or group based on their identity.  The,a,1
58,4,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
58,5,"ech in India.  The meme shows a person with an expression of extreme anger or shock, with Hindi text",a,1
74,0,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
74,1,"peech in the Indian context.  The image shows a person with a beard who appears to be shouting, with",a,1
74,2,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
74,3,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
74,4,ooks like Hindi/Devanagari script along with a person wearing a head covering against a green radial,a,1
74,5,"i/Devanagari script against a green radial background, I would need to assess whether it contains pe",a,1
78,0,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
78,1,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
78,2,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
78,3,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
78,4,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
78,5,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
134,0,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
134,1,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
134,2,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
134,3,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
134,4,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
134,5,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
137,0,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
137,1,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
137,2,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
137,3,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:b,b,0
137,4,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
137,5,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
138,0,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
138,1,s hate or not in India with a single alphabet letter among given answer choices a and b. Assistant:a,a,1
